Day,Date,City,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2010-01-01,Algiers,19.4,31.9,5.0,,,NNE,39.0,NW,WNW,9.0,9.0,70.0,40.0,1012.2,1008.5,,1.0,23.4,30.9,Yes,Yes
1,2010-01-02,Setif,18.6,29.1,12.4,,,W,56.0,S,W,6.0,28.0,88.0,48.0,1007.8,1006.2,5.0,,20.6,28.0,Yes,No
2,2010-01-03,Sidi Bel Abbes,12.2,29.7,0.0,,,W,30.0,SSW,SW,9.0,19.0,57.0,32.0,1014.4,1012.5,,,18.0,28.0,No,No
3,2010-01-04,Skikda,14.8,32.8,0.0,,,SW,30.0,ENE,NNW,11.0,9.0,55.0,24.0,1017.5,1013.6,,,21.3,30.6,No,No
4,2010-01-05,Skikda,15.0,35.8,0.0,,,W,46.0,E,NW,4.0,17.0,46.0,13.0,1014.9,1011.5,,,23.3,34.9,No,No
5,2010-01-06,Oran,16.3,33.8,0.0,,,WNW,41.0,ENE,W,2.0,26.0,49.0,7.0,1014.1,1011.5,,,24.3,33.4,No,No
6,2010-01-07,Setif,15.0,33.0,0.0,,,SSE,28.0,NE,,9.0,,45.0,17.0,1014.9,1012.7,,1.0,22.8,31.8,No,No
7,2010-01-08,Algiers,17.4,36.4,0.0,,,N,30.0,SE,WNW,6.0,13.0,50.0,19.0,1018.0,1014.6,,,24.6,35.3,No,No
8,2010-01-09,Bejaia,19.6,39.8,0.0,,,W,41.0,ESE,W,7.0,22.0,48.0,19.0,1017.2,1013.1,,1.0,26.4,38.6,No,No
9,2010-01-10,Annaba,20.6,42.2,0.0,,,WSW,41.0,E,SW,9.0,15.0,38.0,8.0,1015.4,1011.2,,,27.8,41.2,No,No
10,2010-01-11,Skikda,21.0,42.2,0.0,,,NE,30.0,SE,NNW,11.0,9.0,39.0,15.0,1013.8,1009.1,,,29.1,40.9,No,No
11,2010-01-12,Batna,24.5,42.4,0.2,,,NNW,74.0,S,NNW,7.0,33.0,48.0,12.0,1007.7,1003.6,3.0,,29.4,41.1,No,No
12,2010-01-13,Blida,22.6,28.4,0.4,,,SW,44.0,WSW,WNW,13.0,11.0,56.0,79.0,1009.8,1012.0,,8.0,25.1,19.9,No,Yes
13,2010-01-14,Sidi Bel Abbes,15.7,31.7,3.0,,,SSW,35.0,SSE,SSE,15.0,19.0,55.0,28.0,1016.1,1013.2,8.0,,20.9,30.4,Yes,No
14,2010-01-15,Setif,17.2,36.3,0.0,,,NNW,33.0,SE,NE,11.0,13.0,51.0,20.0,1015.6,1011.4,,,24.2,34.4,No,No
